cid,descrption
PSY2033,"Developmental psychology is designed to
provide the student with the fundamental knowledge and
appreciation of the concepts of human development. The student
will begin with the introduction of scientific methods and research
models in the area of human development. This will prepare the
student to read and understand the evolution and technological
advances in the discipline of psychology and particularly,
developmental psychology. The student will be introduced to the
“bio-psycho-social” model as it applies to human development; this
will include relevant cultural and social issues related to the fact that
human development is not driven or determined by isolated
biological force but expressed as a dynamic between the elements
of heredity and environment which shape the human organism."
PSY3003,"This 3-unit hour course is an examination of
the major personality theories, including those proposed by Freud
and his followers, learning theorists, trait theorists, social-learning
theorists and humanists. Current research into personality, using
modern methods, also is reviewed. We will describe and interpret
the major theories of human personality, introducing the student to
the main ideas and concepts of each theorist and theory, to attempt
to understand the role of theory in the study, understanding and
explaining of human behaviour. And we will also aim to draw from
the related research, pertinent information and analyses of the
respective theories and how theories and research can be practically
interpreted and applied; to encourage active participation in the
curriculum; to enhance skills in critical thinking regarding
assessment of subjective areas of human psychology; to overview
the major controversies in contributors to Psychology."
PSY3013,"The course in Theories of Learning attempts
to integrate the cognitive, emotional and environmental experiences
which form the basis of knowledge, skills and values that determine
the individual’s view of the world. Theories of learning attempt to
explain how these learning events occur and what is happening
when people learn. This is what differentiates humans from animals,
we know it!! A fundamental question surrounding this fact is how
do we know? This is answered by exploring the bases of learning.
The course will also provide an introduction to some of the most
informative and influential psychological thinking of the twentieth
century which explored the nature of learning.
The course is designed to expose the student to important empirical
and practical applications of learning. We will study the variables
related to learning with the goal of understanding the principles of
human development, educational achievements and therapeutic
changes"
PSY3023,"This course will introduce students to the
branch of psychology which deals with a diverse range of
maladaptive human behaviours. Topics will include historical and
theoretical perspectives on abnormal behaviour, and related
methods of assessment, research, and intervention which are
prominent in this area of psychology.
This course will also include a detailed coverage of anxiety, stress,
mood, thought, substance, personality, sexual, somatoform, and
eating disorders, as well as disorders related to childhood and aging.
Psychosocial dimension of these disorders will be considered, along
with strategies for intervention which represent a variety of
theoretical perspectives on treatment."
PSY3073,"The major objective is to provide the student
with hands on experience and practice related to experimental
methods in psychology. This process includes planning, designing
and conducting a piece of experimental research and
communicating the results to fellow students. Students will be
introduced to the basics of scientific methods, principles of
observation and reporting. Developing computer skills as a
foundation for data analysis will be emphasised.
The laboratory part of the course will provide the research
experience, develop the research project and demonstrate the skills
of scientific communication in both written and oral forms. The
course will also introduce the important topics of research ethics
and guidelines established for the protection of animal and human
subjects."
PSY3083,"This course explores major developments
ideas in the history and systems of psychology as an academic
shaped the field; when and how psychology became a science; life
histories of psychologists; and how ideas about what is ""normal"" are
shaped by psychology. Although psychology really only became an
independent discipline about 100 years ago, its history goes back
much further than that. The purpose of this course is to provide an
overview of current methods of psychological intervention, with a
strong emphasis on empirically supportive forms of treatment.
Students can expect to learn about many widely used cognitive and
behavioural methods, psychodynamic theories and methods
including psychoanalytical perspectives, humanistic approach of
counselling, modern theories and practical issues of positive
psychology, self-awareness and well-being."
PSY3093,"The aim of this course is to improve the
knowledge, understanding, and practices of students who will be
involve in constructing tests, and understanding the meaning and
value of test scores. This course introduces students to the
psychological tests used in clinical, organisational, forensic, and
educational settings. Through the address of topics such as test
design, neuropsychological assessment, vocational interests, and
projective techniques, students will gain insight to how testing data
are used by professional psychologists when working with clients."
PSY4003,"The main objective of the course is to provide
the student with the understanding and appreciation of the scientific
methods and how it applies to the principles of cognitive
psychology. Principles and theories of attention, memory, problem
solving, comprehension and reasoning provide the core of human
cognition and provide a context for other studies related to learning,
intelligence and other areas of human behaviour. The student will
experience the many avenues of empirical research found in studies
of cognition and learn to appreciate the traditional research models
of cognitive psychology ( e.g. Reaction times) and how they can be
used to interpret mental events. The student will understand the
failure of cognition (e.g. Trauma, dementia) and use this
information and knowledge to further understand normal cognition.
The student will hopefully appreciate the value of cognitive
psychology in the context of contemporary issues confronting the
discipline of psychology."
PSY4004,"The main aim of this course is to guide and
empower final year psychology students to initiate, explore, analyse,
and complete their research project. The objectives of this course
are to provide opportunities for students: (1) to develop their
individual critical thinking and research design skills, as well as
analytical and intellectual abilities; (2) to apply the formal
knowledge and skills gained on the degree programmed, to real,
practical psychology research; and (3) to integrate their
competencies, so as to better prepare themselves for the transition
from the academic to the work situation."
PSY4053,"Students will view health and illness through
a bio-psycho-social lens, i.e. understand that physical well-being is
the result of complex biological, social, and psychological factors.
Students should develop the research skills and confidence
necessary to critically examine advice about health they are given.
Students will learn about behavioural interventions they could apply
in their own life, either with others or themselves; modifying health
behaviours, coping with stress or pain, or dealing with illnesses."
PSY4063,"Although the Chinese people constitute more
than a quarter of the world’s population, the purpose of this course
is to summarise and integrate the wealth of data available on their
psychological functioning. The purpose of this course is to
introduce fundamental concepts from psychology in the different
cultural context of Chinese people psychological functioning, to
apply such concepts in understanding themselves and behaviours of
others."
PSY3033,"The course in Forensic Psychology is directed
at applying social science research methods and principles of
psychological knowledge and theories to the contemporary issues of
the criminal justice system. The course will introduce the student to
a wide range of topics related to legal methods found in court,
corrections and police work. The student will be introduced to the
translation of psychological language into legal language found in
courts and other legal institutions. The fact that a forensic
psychologist is not a therapist and does not approach the issues and
problems found in clinical psychology will be understood by the
student. Emphasis on facts and objective assessment will be a key
concept, the forensic psychologist must be acutely aware of his/her
role at the behest of the judge or attorney representing the defendant.
The student will be exposed to the myriad of situations and
circumstances in the relationship between crime and mental illness.
Thus the student of Forensic Psychology will understand the
concepts of insanity, recidivism, risk assessment, police psychology
and expert testimony."
PSY3043,"The field of consumer psychology refers to
the study of how the population accesses the goods and services in
their daily lives. This area of psychology draws heavily from the
fields of advertising and marketing in the scope of business but it
incorporates and complements these disciplines with anthropology,
cognitive psychology and social psychology. Consumer Psychology
has been recognised as a separate area of study within the discipline
of psychology since World War II.
Consumer psychology attempts to answer the questions of how,
why, when and where do people buy or, not buy products.
Consumer psychology studies individuals and group characteristics
regarding how they satisfy their wants and needs. This involves
examining demography, economic and social status and the effects
of the environment and how it influences buyer decisions.
Consumer psychology examines factors related to how a customer
determines value; it attempts to measure the effects of advertising
and marketing with the ultimate goal of influencing or predicting a
customer’s decision."
PSY3053,"The course in educational psychology is
developed to study how humans learn in educational settings. The
course explores and examines the effectiveness of educational
intervention and the psychology of teaching. The focus of
educational psychology is upon how students learn and how they
develop, this often takes place within the context of subgroups such
as “gifted children” or children with “learning and educational
disabilities”. Educational psychology locates itself within a wide
range of specialties within the areas of educational studies. A course
objective is to expose the student to a variety of these areas such as:
instructional design, educational technology, curriculum
development, special education and classroom management. The
broad, overall objective of educational psychology is to introduce
the relevant psychological principles, theories and methodologies to
problems and issues found in areas of learning and education"
PSY3063,"This course is designed to provide students
with a positive perception of cultural diversity. The most important
elements of cultural diversity, understanding and awareness, will be
addressed. The aim of the course is to examine how “the mind
shapes culture” and how “culture shapes the mind”. We will begin
by discussing immigration and cultural diversity from the point of
view of those who change cultural environment and those who find
themselves in environment where they are minorities. Psychology
of Cultural Diversity employs a blend of experiential learning
theory to engage the learner in a unique and participative set of
learning experiences. Increased awareness of cultural diversity can
translate into more tolerance, respect, and appreciation for the
uniqueness of all people and culture."
PSY4005,"This course is intended for students who want
to carry out more in-depth research in their Final Year Project.
Same as Final Year Project I, but it will be restricted to students
who have academically performed very well in year 2 and year 3,
and in Final Year Project I. Enrolment in this course requires the
approval of the Programme Director. Students are required to
independently carry out a scientific literature review, to critically
appraise certain theories, concepts or beliefs, and to prepare
students for a higher degree study"
PSY4013,"This course intends to provide an overview of
the counselling profession. Research in efficacy and assessment will
be included in the course to emphasise the scientist-practitioner
model. Students will also be informed of the various settings where
counselling psychologists can contribute their professional
knowledge."
PSY4023,"The course in Group Dynamics introduces the
student to the stages and processes of groups including the
principles of group interaction which will address techniques,
leadership and roles. These concepts will be applied as part of an
experiential learning process with the student as participants in
various group exercises. The object is learning while participating.
The student will understand group dynamics within the processes of
group development: this includes an assessment or group building
phase, the initial phase of group development, the working and
transition phases, the final or closure phase. Again, this is a course
that incorporates both theoretical and experiential phases of group
dynamics. The course does not have an orientation to counselling or
industrial/personnel management, the course content and material is
developed to provide the student with an understanding of group
processes, goals, norms and roles, communication, leadership and
cooperation."
PSY4033,"The content of this course depends on the
interests and expertise of the lecturers involved in teaching it, and
the needs and interests of the students. It provides an opportunity to
explore topics of current relevance and importance."
PSY4043,"This course will introduce the major aspects
of Industrial and Organisational (I/O) Psychology. Students will
learn and apply psychological principles and research methods
pertaining to a variety of I/O psychology issues, such as individual
factors in selection, placement, job analysis and design, safety and
training. Students will examine the role of interpersonal relations,
and individual differences in modifying and changing organisations,
they will also gain insights to the decision making, group dynamics,
leadership, employment law, job satisfaction, work motivation,
organisational development and change processes within and
between organisations."
BIOL2023,"This course emphasises biological functioning
at the levels of population, community, and ecosystem, and is
organised around the principles of energy flow, nutrient cycles, and
succession. Human interventions such as urbanisation, harvesting
renewable and non-renewable resources, and pollution generation
are considered in relation to natural limits, natural regulations and
regeneration mechanisms, and long-term ecosystem stability.
Students will be able to gain the knowledge of basic ecological
principles, including species interactions, energy flow, nutrient
cycles and succession, and habitats and ecosystems of the Pearl
River Delta and Hong Kong."
BIOL2043,"This course aims to provide students with a
board perspective in the field of biology, with special emphases on
the diversity and unity of living things. The course provides a
general understanding of the cell structure and the functions of
organelles; and studies the characteristics of major phyla of
vertebrates and invertebrates, as well as major plant groups, in
respect to their morphology, distribution and diversity. There is
particular emphasis on an evolutionary theme so that students can
relate plant and animal anatomy and physiology as adaptations in
evolutionary history."
BIOL2053,"This course aims to encourage students to
appreciate the vast diversity of microorganism. The course provides
a general understanding on the nomenclature and taxonomy of
microorganisms, as well as their cell structures and functions. The
course also provides examples on the applications of
microorganisms in our everyday life with emphasis on their
applications in environmental science."
BIOL3003,"The course provides general knowledge
concerning the various routes of human might be exposed to toxic
chemicals. Main emphasis will be placed on the biological
responses to toxicants, methods for evaluating potential toxicity,
and applications of toxicological data to assess potential health risk."
BIOL3023,"Experiments relevant to General Biology and
General Chemistry are conducted to illustrate and consolidate
students’ understanding of the fundamental concepts and basic
principles of the subject. Solid training in basic laboratory
techniques in Biology and Chemistry is provided through a series of
well-chosen experiments. Students are provided with a solid
training in basic laboratory techniques and practical skills necessary
for more advanced laboratory courses and project work."
CHEM2023,"This course gives a cursory treatment of
topics from physical and organic chemistry pertaining to
Environmental and Life Sciences. The topics that will be discussed
include chemical bonding and intermolecular forces, basic concepts
in thermodynamics, chemical kinetics, stereochemistry and
conformation, chemistry of carbonyl and other important organic
functional groups. Specifically, The course provides students with (i)
a solid understanding of the fundamental concepts and basic
principles of chemistry; (ii) knowledge in organic chemistry
required for more advanced courses, such as biochemistry and
physiology, environmental health and toxicology"
CHEM3003,"This course offers fundamental knowledge
about the integration between biochemistry and physiology. The
course deals with molecular, cellular, and integrative physiology.
Topics include carbohydrate, protein, and fat metabolism,
enzymology, nutrition, cardiovascular and respiratory systems,
homeostasis, nitrogenous waste excretion, and osmoregulation."
ENV2003,"The course introduces students to the basic
principles, concepts, and issues in environmental science, and
demonstrates to them how environmental issues and resources
problems are interrelated. Emphasis is given to those topics that
demonstrate how environmental issues are related to our everyday
life. Students should be able to understand how human activities
cause environmental pollution problems, and recognise how modern
environmental technologies could remedy such problems."
ENV3003,"This course is designed to help students relate
scientific principles to the management of natural resources. Topics
include management of natural resources in terrestrial and aquatic
ecosystems. It introduces the nature of each natural resource and the
scientific and ecological basis for their management, and cultivates
positive attitudes relative to natural resource perception, use,
management and protection."
ENV3013,"This course introduces and discusses global
environmental issues, and examines various approaches in tackling
them by working out sustainable scientific solutions. Specifically,
the course (1) develops a broad framework (incorporating scientific,
social, economic and political factors to analyse and resolve
environmental problems); (2) provides an understanding of the
importance of the role of science and scientific information in
environmental management; and, (3) discusses the anthropogenic
causes of environmental degradation and the way sustainable
growth can be brought about by environmental management. It
examines the framework of environmental planning and
management, and the techniques for tackling environmental
management; and applies principles of environmental science to
help manage the diverse array of environmental problems in
different physical, biological and social environments."
ENV3023,"This course describes the sources, transport,
reactivity and sink of contaminants in the environment, together
with various technology options used for pollution control. It
discusses the fundamental principles underlying the origins, effects
and consequences of pollutants and pollution control which serves
as a basis for the study of other environmental subjects such as
environmental analysis and environmental management."
ENV3043,"The practical sessions consist of experiments
that utilise the techniques commonly used in environmental studies.
The course illustrates the theoretical background of the subject and
provides students with practical experience in biological and
chemical treatments of waste and microbial conversion of biomass
or organic waste. Students are trained in the basic principles and
techniques for sampling and sample treatment; analytical techniques
including physical, chemical and biological techniques, for
environmental investigations; and practical experience in treatment
methods for removal of environmental contaminants."
ENV4004,"This is a semester long individual project on
an interdisciplinary or applied topic related to the field of
environmental science, utilising knowledge and skills acquired in
this programme and beyond. Assessment is based on a thesis and an
oral presentation upon completion of the project. The course guides
students in the development of research methodology appropriate to
the practice of environmental technology and management. The
project gives the students opportunity to work on problems of an
applied or interdisciplinary nature that has real-world significance."
ENV4023,"This course is devoted to a more in-depth
study of topics in atmospheric chemistry and physics that are
relevant to pollution and the application of this knowledge in
understanding selected major atmospheric pollution problems.
These topics include atmospheric photochemistry, chemistry of the
stratosphere, troposphere and the atmospheric aqueous phase,
atmospheric aerosols, atmospheric chemistry and climate, air
pollution control philosophies and strategies."
ENV4033,"This course aims to provide the students with
a general understanding of the pathways of soil contamination, the
most important groups of inorganic and organic chemical
contaminants, the sources and key properties which affect their fate
in soils, their availability to plants and their toxicity to humans and
ecosystems. Various forms of land contamination and the various
traditional as well as modern technologies being used to remedy the
contamination will be discussed. Specifically, the course provides
an understanding of how human activities have led to an increase in
the load of contaminants in the land; the pathways of soil
contamination; and the various physical, chemical and biological
treatment technologies."
ENV4053,"This course aims to equip students with
in-depth knowledge in water chemistry and engineering. New
technologies associated with wastewater treatment and advanced
industrial wastewater treatment will be discussed. These topics
include the equilibrium partitioning between organics and
in-organics in the environment, and their fate in the aquatic system.
Engineering technologies for the supply of drinking water and
wastewater treatment are introduced in this course."
BIOL3013,"This course provides a general understanding
of the principles and applications of biotechnological techniques in
environmental monitoring, pollution control and removal of
contaminants, particularly in environmental biomonitoring,
biodegradation and bioremediation, biofuel production and waste
water treatment. In addition, it introduces specific applications of
biotechnology in microbiological wastewater treatment,
bioremediation and ecological engineering."
BIOL4003,"This course provides an introduction to
biodiversity conservation and its implementation. In addition to
in-depth discussion of ecological theories which play central roles
in understanding the threats to biodiversity and the conservation of
biological populations, species and communities, case studies will
be used to draw attention towards the interplay of socio-economic,
political, and cultural factors in threatening and conserving
biodiversity. The roles of NGOs, government agencies and the
private sector will also be discussed in detail."
BIOL4013,"Environmental biotechnology is an integrated
approach which employs organisms for solving environmental
problems such as soil contamination, air and water pollution, and
fuel shortage. This laboratory based course aims to teach students
advanced biotechnological skills such as bioassays, cytotoxicity
tests, polymerase chain reaction (PCR), cell culture techniques and
fermentation techniques for environmental applications such as
bioremediation, wastewater treatment, biofuel production, pollutant
detection, and microorganism identification and characterization.
Upon finishing the course, students should have acquired the
mentioned biotechnological skills which will enable them to
synthesize knowledge to solve environmental problems and pursue
postgraduate studies in the field of Environmental Biotechnology or
related subjects."
CHEM3013,"This course is for the Environmental Science
Programme. This course discusses techniques and instrumentation
in modern chemical analysis relevant to environmental and life
sciences. It provides a suitable analytical chemistry background for
students in environmental and life sciences to pursue other
advanced courses, such as Environmental Analysis and Monitoring.
The topics discussed include (i) errors and statistical treatment of
data, (ii) aqueous equilibria of acids and bases, (iii) titrimetric and
gravimetric analysis, (iv) atomic and molecular spectrophotometric
analysis, (v) mass spectrometry, and (vi) solvent extraction and
chromatographic techniques."
CHEM4003,"This laboratory course provides students with
both theory and practice of modern biochemical techniques. Topics
will include cell culture, immunological methods, genetic
engineering, and protein separation technology."
ENV3033,"This course deals with methods and
techniques used in the analysis of atmospheric, terrestrial and
aquatic pollutants in the environment. It introduces students to
various indicators of environmental quality and pollutant analysis
and monitoring techniques applicable to water, air and soil samples.
Environmental modelling and its application to the evaluation of
toxicity are also discussed and covered."
ENV3053,"This course is designed to provide students
with both theory and practice on modern techniques in
nanotechnology and nanomaterial including synthesis,
characterisation and application. The course aims to provide good
academic foundation in the areas of nanotechnology and
nanomaterial. It intends to give a deep knowledge of fabrication and
characterisation of nanostructures to meet the emerging demands of
nanotechnology professionals and will prepare the participants for a
successful career in the nanoscience and nanotechnology."
ENV3063,"The course provides students the opportunity
to learn the geological structure, and the constituent of the Earth
relating to its natural processes; help equip students with an
understanding of the interactions between geologic/ecological
processes and the society, the earth’s dynamic and changing
environment, the application of geologic information to the entire
spectrum of interactions between people and the physical
environment; and help students appreciate how geology interacts
with major environmental problems facing people and society."
ENV3073,"This course will introduce students to the
fundamentals of Geographic Information Systems (GIS) with an
emphasis on how the vector data model is used to assess and
analyse environmental problems. After providing a brief overview
of vector GIS concepts and applications, students will examine
vector data structure, and vector data acquisition, with a focus on
Global Positioning Systems (GPS) and database creation,
management, and manipulation. In addition, students will learn the
basics of geocoding, network application and map construction to
explore and analyse environmental problems."
ENV4003,"Green Business Management examines the
role of business in reducing the burden on the natural environment,
and the impacts on profit and the environment in adopting new
management approaches. The economic growth and the
environmental impacts, and how to mitigate them, are the major
focuses of the course. The contents include the greening of business
at all stages - from the management, production to product. The
students are introduced to various conflicting ideas regarding
economic development and environmental degradation, and whether
the technological advances hold the key to saving the environment."
ENV4005,"With the approval of the Programme Director
Course Description: Please read the course description of
ENV4004. This course is for students who wish to carry out more in
depth research for their final year projects. To enrol in this course,
students must have a satisfactory report for ENV4004 and the
approval of the Programme Director."
ENV4013,"This course provides an understanding of
solid waste problems, waste generation, handling, and treatment
with the emphasis on recycling. The course will include the study of
the waste generation scenarios in developed and developing
countries with special reference to waste generation in China. It will
discuss the various waste treatment technologies, their pros and
cons and the success stories. The emphasis will be on how to reduce
solid waste and various issues such as producer responsibility,
polluter pays, etc. The resource conservation using the three “R”s
and the role it plays in the integrated waste management scenario
will be emphasised in order to: (1) to understand the origins of
waste and the social, political and economic issues involved with
waste disposal; (2) to review the waste generation problem and to
examine various physical, chemical and biological waste treatment
methods; (3) to introduce the various technologies in reducing and
reutilising the various types of wastes; and (4) to have a
comprehensive knowledge of the current and projected legislation
regarding waste and their potential implications."
ENV4043,"This course provides updated information in
recent advances and developments in selected areas in
environmental science and technology."
ENV4063,"This course gives an introduction in three
main areas: ISO9001 standard, ISO14001 standard and auditing.
ISO9000 and ISO14000 families are among the most widely known
standards of the International Organisation for Standardization
(ISO). They are generic management system standards, which can
be applied to all types and sizes of organisation. ISO9000 family
has become an international reference for quality management
requirements in business operation. The ISO14000 family functions
as practical tools for any organisation to provide assurance on
environmental issues to external stakeholders. Auditing functions as
a management tool for monitoring and verifying the successful
implementation of an organisation’s quality and environmental
policy. In addition to the elaboration of the requirements of the
relevant International Standards, case studies will be used to
facilitate discussion."
PHYS2003,"This course teaches the basic principles of
physics to explain the properties of heat, light, electricity,
magnetism, and quantum mechanics of atoms and then apply the
principles to study the functions of electronics, analytical
instruments, environmental monitoring instruments, solar panel, etc.
In addition, the impacts of important physical phenomena such as
air movement, light scattering by particulate matter, global warming,
solar radiation, radioactivity, etc. on the formation of environmental
risks and pollutions will be analysed. The basic principles of
physics taught in this course can be applied not only to
Environmental Science, but also to other sciences and everyday life."
ECON2003,"This course aims to introduce students with
the main building blocks of macroeconomics, so as for students to
acquire a basic understanding of how a market economy functions,
to appreciate the critical macroeconomic issues facing the society,
and to understand to a certain degree the going debate on these
issues. This is a necessary preparation not only for many careers in
private and public sectors but also for responsible citizenship in
modern society."
ECON2013,"This course aims first to introduce students
with the basic principles and the main building blocks of
microeconomics. The students should appreciate the relevance of
the course materials in real life, and learn to apply them in analysing
some simple economic problems commonly encountered by
individuals and firms. The major topics covered are: the market
forces of demand and supply, and the associated concept of
elasticity; the key role of price in the resource allocation; the
efficiency of, and some possible problem with, the market
mechanism; the various cost measures for firms; the different forms
of market competition, and the impact on social welfare; and finally,
the basic role of government in the economy."
MHR3003,"This course is designed to prepare students for
a successful business career as a human resource professional by
providing them with a broad understanding of issues and principles
in human resource management in various organisational settings."
BIOL2003,"This course is for the Food Science and
Technology Programme. This course provides the student with a
solid foundation in the principles of biology, from molecular
biology to cells to the diversity of life. Topics include the structure
and function of representative organisms, and their diversity. Latest
advances in biology are incorporated into the course. There is also
an overview of the scientific process/method, and examples are
reviewed to show how the process works."
BIOL2013,"Experiments relevant to General Biology and
General Chemistry are conducted to illustrate and consolidate
students’ understanding of the fundamental concepts and basic
principles of the subject. Solid training in basic laboratory
techniques in Biology and Chemistry is provided through a series of
well-chosen experiments. Students are provided with a solid
training in basic laboratory techniques, practical skills, lab safety
knowledge, and writing skills of lab report necessary for more
advanced laboratory courses and project work."
BIOL2033,"This course is for the Food Science and
Technology Programme. This course covers the basic principles of
microbiology as well as some aspects of applied microbiology. The
learning materials will include microbial morphology, taxonomy
and cultivation, and the roles of microorganisms in the ecosystem,
pollution control process, disease and the use of microbiology in
food. The objectives of this course are to stimulate the awareness of
the vast diversity of microbes in the environment and provide
students a background for more advanced courses."
BIOL2063,"This course introduces the basic principles of
biochemistry and molecular biology, emphasizing broad
understanding of chemical events in living systems in terms of
metabolism, structure-function relationships of biologically
important molecules with detailed analysis of the structures,
properties; functions of proteins, carbohydrates, and lipids;
introduction to carbohydrate, lipid and protein metabolisms."
CHEM2003,"This course is for the Food Science and
Technology Programme. This course gives a cursory treatment of
topics from physical and organic chemistry pertaining to Food
Science. The topics discussed include chemical bonding and
intermolecular forces, basic concepts in thermodynamics, chemical
kinetics, stereochemistry and conformation, chemistry of carbonyl
and other important organic functional groups. Specifically, The
course provides students with (i) a solid understanding of the
fundamental concepts and basic principles of chemistry; (ii)
knowledge in organic chemistry required for more advanced
courses such as biochemistry and physiology, health and
toxicology."
CHEM2033,"This course introduces students to the basic
techniques and instrumentation in modern chemical analysis
relevant to food science. It provides a suitable analytical chemistry
background for students in food science to pursue other more
advanced courses. The topics discussed include (i) steps in an
analytical process; (ii) extraction techniques; (iii) evaluation of
results: errors, statistical treatment, calibration curves; (iv) classical
analytical methods: gravimetric analysis; (v) atomic and molecular
spectrometry; (vi) mass spectrometry; and (vii) chromatographic
techniques."
FOOD2003,"This course provides students with an
overview of the scientific principles and current status of
technology related to food and food products. The contents will
include an overview of food components, food additives, diet, food
safety and health."
FOOD2013,"This course is designed to provide students
with basic understanding of the chemistry of major and minor
components in food systems, so that students can describe the
relationship of these components to food stability in terms of
degradative reactions and processing."
FOOD3003,"This course intends to introduce students to
the key concepts in professional food analysis in an industrial
context, so that students can discuss the choice of analytical
methods specific to a product and be able to interpret and analyse
results. This course provides students with the concept and scope of
food analysis, the basic principles and applications of major
analytical techniques, and the steps involved in the analysis of food
components."
FOOD3013,"The way in which nutrients are taken and
metabolised is essential for a balanced or healthy diet and the
maintenance of optimal fitness. In this course, scientific knowledge
and interpretation on nutrition and metabolism are expounded on to
enable students to understand and evaluate advances in nutrition and
health sciences. This course provides students in some detail, the
structure and function of nutrients, the outline of the relationship
between food intake and energy expenditure, understanding of the
factors that influence people’s choice of foods, the various
metabolic pathways in nutrient metabolism and how they are
regulated and integrated, the scientific evidences of proper nutrition
to better health and extended longevity."
FOOD3023,"Toxic dietary components, microbial toxins
and food pathogens are the predominant causes of morbidity and
mortality associated with foods. In this course the hazardous
substances associated with food in general will be outlined and their
effects on food reviewed. The beneficial use of micro-organisms
will also be considered. This course provides students with some
basic coverage of the principles of toxicology relevant to food
science and nutrition, information on microbial use and hazards
associated with food, awareness of food contaminants, such as
pesticides, antibiotic residues etc."
FOOD3033,"The practical sessions consist of experiments
and techniques commonly used in chemical and food analysis.
Students will be given hands-on experience in chemical analysis
and food analysis. Various types of instruments and equipment used
in chemical and food analysis will be demonstrated. This course
provides students with the basic principles and techniques for
sampling and sample treatment; training in analytical techniques,
including physical, chemical and biological techniques, for food
investigations; hands-on experience in management techniques for
conducting and evaluating a project on food analysis; practical
experience in treatment methods for removal of environmental
contaminants related to the production and processing of food."
FOOD3053,"This course intends to familiarise students
with the basics about food materials and also to introduce students
to the basic principles of food processing and preservation so that
students can comprehend the scope and complexity of food
materials and be able to communicate effectively with specialists in
food manufacturing industry. This course provides students with the
fundamentals of food materials, techniques in food material
handling, structuring operation, the compositional standards of food
products, and the basic principles relevant to polyphasic food
systems."
FOOD3063,"This course intends to provide students with a
basic knowledge about food processing systems and their
engineering principles relevant to the food industry, so that students
can comprehend the scope and complexity of food engineering and
food processing systems, and are able to work and communicate
effectively with specialists in the area."
FOOD3073,"This is a laboratory-based course. The
purpose is to introduce students to some basic food science
experiments, skills and practices, and allow them to have some
hands-on experience in the basic techniques of experimental,
analytical and practical procedures in food chemical analysis,
nutrient analysis and the handling of food. This course provides
students with some practical and basic experiences in food
chemistry and analysis of food and nutrients, some hands-on
experience in the making of food and food analytical techniques,
introduction of some commonly used food chemical analytical
instruments, procedures and practices."
FOOD4004,"A semester individual project on a topic
related to the field of food science utilizing skills and knowledge
acquired in this programme. Each student has to perform a literature
review or a research project and write a dissertation of about 5,000
words. This course enables students to go through an independent
learning experience; and gives students a chance to develop skills,
including the use of on-line and off-line materials, the logical
development of scientific arguments, thesis writing skills,
presentation techniques and time management."
BIOL2073,"This course is designed to provide students
with an understanding of the function and regulation of the human
body and physiological integration of the organ systems to maintain
homeostasis. Course content will include neural and hormonal
homeostatic control mechanisms, as well as study of the
musculoskeletal, circulatory, respiratory, digestive, urinary, immune,
reproductive, and endocrine systems."
FOOD3043,"This course provides students with the outline
of the major physiological changes, nutritional needs and
nutrition-related issues throughout the life cycle. It enables the
students to apply basic principles of nutrition to nutrition-related
problems that would occur in different stages of life cycle, and help
them to describe possible interventions in different nutrition related
problems throughout the life cycle."
FOOD4003,"This course covers topics related to food
safety, food standards, food plant and food retail sanitation, food
and health related advertisement, regulations and laws etc.
Emphasis will be placed on explaining and outlining the legal rules
involved in the production, manufacturing, processing and trading
of food products, consumer protection regulations and the proper
labelling of food products. This course provides students with the
knowledge to collate objective and scientific data to provide
law-makers to draft regulations, legislation and laws dealing with
consumer protection, composition of food, prevention of harmful
effects of food and controlling food safety; the basic legal
requirements and the methods of food safety control that are of
importance and use to food producers, manufacturers, retailers and
government and to develop international trade harmony and
standards."
FOOD4005,"This course allows students to carry out more
in-depth research for their Final Year Project. Students interested to
enrol in this course need to achieve grade B or above in FOOD4004
and obtain permission from the Program Director. They should
register the Final Year Project II as a free elective during the online
course selection."
FOOD4013,"This course outlines the science and
technology of meat (beef) and dairy products. The importance of
meat’s contribution to a healthy, contemporary diet is emphasised.
Various other meat products (e.g. from pig, lamb and chicken) and
their related processing techniques are also discussed."
FOOD4023,"This course explores nutritional enhancement
with respect to foods or dietary components that provide health
benefits beyond basic nutrition or deliver specific physiological
benefits to health and/or reduce the risk of diseases. Categories and
examples of functional foods, the scientific basis to support claims
for functional components and the link between functional foods
with balanced diet and diseases will be explored. Continuous
consumer demands and the response of the food industry will be
analysed and discussed. This course provides students with the
concept, scope and chemistry of functional foods; the highlight of
functional foods in the food industry; and the impact on the
development of new functional food products."
