course_code	course_description
MATH1153	Applied Linear Algebra and Dynamics aims to provide some advanced topics and tools related to linear algebra. The course will equipped students with advantages for subsequent courses on data analysis and AI. It consists of orthogonal polynomials, least squares approximation, discrete Fourier analysis and fast Fourier transform, wavelet, positive definite matrices, singular value decomposition, minimum principles, and linear dynamics. It provides solid foundation for compression, optimization theory, principle component analysis, model based data analysis, Markov process and control.
MATH1163	This course introduces the differential and integral calculus for multivariate functions. Advanced Calculus provides the basics of analytic geometry for lines and planes, curvatures for vector functions, partial derivatives, multiple integrals, infinite sequences and series, and second order differential equations. Advanced Calculus severs the foundations for many advanced courses and is usually a compulsory courses for most Programmes in top graduate schools.
MATH2043	This course introduces various forms of ordinary differential equations and their solution methods using analytical techniques. Topics include first order, second order and higher order scalar ODE, serious solution to second order linear ODE, systems of first order ODE, Laplace transform for initial value problems.
MATH2053	This course is a rigorous sequence in analysis on the line and higher dimensional Euclidean spaces. Limit, continuity, least upper bound axiom, open and closed sets, compactness, connectedness, differentiation, uniform convergence, and generalization to higher dimensions.
MATH2063	This course is to introduce basic concepts and theories of probability and statistics, some basic stochastic processes, martingales and their applications, and to create and formulate mathematical models using probability and statistics.
MATH3033	This course introduces the theory of multi-dimensional scalar and system of parabolic, elliptic and hyperbolic partial differential equations (PDEs) that model physical processes in areas such as physics, biology, chemistry and social science. Solution techniques such as the separation of variables, eigenfunction expansions, Green functions, Fourier and Laplace transforms for solving the equations in a bounded and unbounded domain, with homogeneous and inhomogeneous source term will be studied in detail.
MATH3043	This course focuses on both theoretical aspects and problem solving. It will enable students to understand basic concepts on Lebesgue integration, LP spaces and provide the foundation for further studies in numerical analysis, functional analysis and advanced probability theory.
MATH3063	Students of this course will learn the theory of multivariable calculus and learn how to apply the theory to solve practical problems. This is a required course for Mathematics and Mathematics/Physics Majors, and is suitable for all students in Science, Engineering, Economics and Finance, and other students who will use multivariable calculus in their areas of study.
MATH3093	To provide students with an understanding of major areas in logistics and supply chain management as well as to illustrate how to apply various skills and techniques in logistics and supply chain management to analyse and solve various real problems. The emphasis will be on learning of various models and techniques in logistics.
MATH3143	This course provides students with the mathematical tools of classical differential geometry, fundamental topological invariances of curves and surfaces and the theory of intrinsic geometry of surfaces. Also trains them to apply techniques in shell theory and cartography.
MATH3163	This course provides an introduction to measure theory, Lebesgue integration, LP space, and Fourier analysis. Equipped with this knowledge, students are prepared for further studies in numerical analysis, functional analysis and advanced probability theory.
MATH4103	This course aims to let students apply mathematical and statistical skills to real world problems according to the basic principles of mathematical and statistical modelling and investigate meaningful and practical problems chosen from common experiences encompassing many academic disciplines, including mathematical sciences, engineering, operations research, management sciences, and life sciences. It can also enable students to use related computing software in mathematical modelling and problem solving and to formulate real world problems as mathematical models.
MATH4113	This course aims to give students a broad training on various analytical techniques in modern applied mathematics. It intends to equip learners, through various teaching and learning activities and assessment methods, with skills and knowledge to solve more sophisticated mathematical problems in various areas.
MATH4143	This course aims at familiarizing the student with the basic concepts, principles and methods of functional analysis and its applications. The notions of metric spaces, fixed point theorems, Banach spaces, Hilbert spaces, continuous linear operator, the Hahn-Banach extension theorem, the uniform boundedness principle and the open mapping theorem, and applications of the above topics will be introduced.
MATH4153	This course aims to apply numerical methods and scientific computing techniques for ordinary and partial differential equations. This course introduces the major numerical techniques for solving ordinary and partial differential equations. Emphasis is placed on finite difference methods. Methods for different classes of first and second order linear PDEs are described and analysed. It trains students to design computer programmes and apply them to solve differential equations.
MCOM2023	A second part of communication theories is explored on discourse, representation, and audience. Application of the theories is an important component of the class, especially within the context of media industry in Chinese society in order to provide a theoretical framework to meet the dynamic changes in the discipline of communication.
MCOM2053	In this course, students learn to produce reporting work for the student newspaper/ magazine. Under supervision, each student is required to work as reporter and later editors in two consecutive semesters.
MCOM2083	This course equips students with the basic knowledge and skills involved in the gathering, writing, and producing a range of audio-visual products. Through lectures, discussions, and practical hands-on work, students will learn and apply the techniques presented in creating compelling and accurate multimedia content. This includes techniques in creating educational, non-fiction, and journalistic content for audio (podcasts), video (news packages), and social media. Students will also have a basic understanding on factors affecting the efficiency of digital communication processes.
MCOM3003	This course is an introduction to Chinese media development which takes students through a contemporary history and structure of the Chinese media system and cultural issues. Topics include journalism, advertising industry, TV and cinema culture, Internet regulation, and the changing nature of Chinese media within the context of globalization.
MCOM3023	Students learn to produce experimental work for the student newspaper/ magazine under supervision. In this course, students are expected to shift their roles from reporters to editors.
MCOM3093	In this course students will become conversant in carrying out various kinds of research used in journalism, media studies, and media management. Students will learn how to sharpen their critical appraisal of these research methods and results used by journalists. The class will present examples and apply best practices in the field, as well as analyses of the processes and players in journalism using these various methods.
MCOM3103	This course aims to further equip students with the knowledge and skills involved in producing a short documentary film. Through lectures, discussions, and practical hands-on sessions and projects, students will continue to learn and refine the application of the techniques required in non-fiction storytelling, filming, and editing sound and images. This is a practical course toward developing a 10-15-minute documentary FYP and other advanced media content production.
MCOM3143	This course introduces some of the most important theories and techniques of advanced news reporting. This course enables students to understand these basic theories and techniques by applying them in journalistic practice. Doing so is crucial to ensure that students will succeed in journalism, or any other field based on research-based writing.
MCOM3213	This course provides the intellectual and practical skills necessary to see written copy from submission to print, including the organisation and improvement of original written material as well as the technical processes through which writing is transferred to the printed page. Use of photographs and other graphic material to improve appearance and aid understanding is introduced. Exercises in print production and design and in desktop publishing are provided.
MCOM3233	This course explores the nature of documentary photography and the use of photos to build a news narrative. Students will build the introductory course and produce meaningful, informative and artistic photographs suitable for publication in an editorial publication. Central themes will include ethics in photojournalism. Students will master the ability to create a magazine style photo spread, create a portfolio suitable to present to working photo editors during job interviews or client based assignments.
MCOM4003	The course is an introduction to critical studies of media culture. As an advanced course in the final year, it builds on the theoretical foundation and empirical purview prepared by Introduction to Media Studies, Media in China, and also ME courses offered during Y3. By surveying major problematics in classical cultural theories and discussing contemporary issues, it aims at offering theoretical frameworks for students in understanding media and media culture critically.
MCOM4013	Introduce students to a variety of journalism practices involving new media, wired and wireless communication technologies at both the applied and the theoretical level. There is a particular focus on journalism, multimedia and the Internet. Students will learn how to make the best use of the latest communication tools to create compelling and accurate journalism content as well as anticipate future trends and issues. Lab sessions are incorporated into the course to give students hands-on experience.
MCOM4033	In this course students integrate theory and practice by either producing a substantial piece of individually produced in-depth report (in the form of a feature story or a 20-minute documentary); or an academic dissertation. In either case the Final Year Project is a means of engaging the student in a piece of independent research that provides an analytical and critical evaluation of an idea. The course tests research and professional skills as well as the ability to apply theoretical insights.
MCOM4073	This is a capstone project which allows year-four students to assimilate and apply learned skills in a single project. This allows students to work on a long-form, independently developed project to go deep into the work. The project can take the form of a feature article, a short documentary, or an academic dissertation.
MATH4123	(1) To enable students to go through an independent learning experience. (2) To provide students with opportunities in developing skills, including the use of on-line and off-line materials, the logical development of scientific arguments, thesis writing skills, presentation techniques and time management. (3)To enable students to demonstrate an integrated understanding of mathematics through solving real-life problems.
MATH4093	This course introduces introduce the basic theory of analytic functions of one complex variable. The topics include some important theorems, like Cauchys theorem, Residues theorem and series representation of analytical functions and conformal mappings and their applications.
MATH4163	(1) To enable students to go through an independent learning experience. (2) To provide students with opportunities in developing skills, including the use of on-line and off-line materials, the logical development of scientific arguments, thesis writing skills, presentation techniques and time management. (3) To enable students to demonstrate an integrated understanding of mathematics through solving real-life problems.
MCOM1003	This course aims at giving students an orientation on the evolution of various media technology and how it shapes our socio-cultural life, and the ever-changing landscape of mass communication. The history is complimented by concrete cases on contemporary issues concerning the globalized mode of the production and consumption of media and media culture. By the end of the course, students will have a better understanding on how messages are conveyed through different media and the impacts on mediated communication when different technology is applied.
MKT3083	The marketing and communication landscape has changed dramatically in the past years. Recent development of social media, such as social networking sites, has resulted in creation of large volumes of structured and unstructured data. This course provides students with a solid understanding of the principles, methods, and technologies for digital marketing analytics. It places special emphasis on working through applications and examples of analytics in the real world, while offering an accessible overview on some of the fundamental techniques in digital marketing analytics. Particularly, this course uses analysis to craft experiences that profoundly reflect each online users needs, expectations, and behaviors, measures real social media ROI (sales, leads, and customer satisfaction), leverages online data way beyond PR and marketing, implements advanced tools, processes, and algorithms for accurately measuring influence, and enables students to identify and understand most important audiences across the digital ecosystem.
MKT3093	This course introduces students to the evolution of the fashion industry, fashion media consumption, and fashion consumer behaviors as a result of digital disruption, and the importance of digital marketing to fashion brands and products. Students will also learn about various common techniques and strategies in fashion digital marketing, and how to measure the impact of these strategies.
MKT3103	This course will provide students with an opportunity to learn in great detail about practices of digital media content production and management. This course aims to accomplish three objectives. First, to develop students ability to generate creative digital contents for marketing purposes. Second, to equip students with knowledge in evaluating the performance and improving the quality of such contents. Third, to develop skills in managing the technical and social aspects of such creative processes for a successful end result. Through discussions with and lectures by instructors, studio executives, producers, publicity and advertising specialists, students will further appreciate the need for a diversity of expertise needed to complete a digital content project or product successfully.
MUS2283	This course is the second part of a two-semester sequence. It will continue the development of the practical musicianship skills covered in Keyboard Skills I. Upon successful completion of this course, students will have acquired advanced music literacy and musicianship skills at the keyboard. These skills have wide-ranging real-world applications, e.g., learning new music quickly, collaboration with other musicians, composition, improvisation, research, conducting, and teaching.
MUS3003	This course explores western art music of the 20th and 21st century. Various compositional techniques will be examined and aesthetic approaches within their historical and cultural contexts will be discussed. This course broadly covers two Areas of Study. AoS1 Musical Modernism will focus on music in the first half of the 20th century and will involve analysis of modernist techniques in the works of composers such as Claude Debussy, Igor Stravinsky, Arnold Schoenberg and Bela Bartok. In addition, various analytical techniques, including set theory, will be applied. AoS2 Postwar art music will examine various aesthetic trends and draw on postmodernist theory to examine the music of the Darmstadt School, the minimalist composers and other aesthetic approaches.
MUS3013	This course introduces fundamental principles and knowledge relating to the creative use of new music technology. This course mainly covers the Fundamentals of Music Technology  and includes topics such as the key principles of sound recording and production, sequencing, microphone techniques, compression and limiting EQ reverb, delay and other effects, sound synthesis, mixing and mastering. Each week a new topic will be introduced and students will explore new ideas in a series of short tasks. Working in small groups, students will complete two projects with using various techniques they have acquired throughout the course. Projects will be submitted at the midterm examination period and at the culmination of the course.
MUS3023	This course builds on key concepts acquired in Music Theory and examines fundamental techniques in the tonal counterpoint of the 18th century, with particular emphasis given to the works of J. S. Bach. This course broadly covers two Areas of Study. AoS1 Tonal Counterpoint Analysis will develop the students ability to identify various contrapuntal techniques in given works. In addition, students will be expected to be able to identify the parts of a fugue. For AoS2 Tonal Counterpoint in Practice students will use an expanded Species approach to learning contrapuntal technique in the form of short written exercises written is historically accurate 18th style.
MUS3033	This course builds on key concepts acquired in MUS2043 Music Harmony and Analysis I and MUS2113 Music Harmony and Analysis II and introduces various conceptions of musical form. Various topics will be examined, including phrase form, binary and ternary forms, theme and variations, fugal form and sonata form. Particular focus will be given to suites and fugues by J. S. Bach as well as the piano sonatas and string quartets by Haydn, Mozart and Beethoven. This course is designed to complement the concurrent course History and Repertoire of Baroque and Classical Music.
MUS3043	This course builds on key concepts acquired in MUS3033 Form and Style I and introduces new Romantic approaches to Classical forms Sonata, Fantasia and Variations as well as new forms like Song cycles, Caprices, Ballades, Impromptus, or Waltzes. Various topics will be examined, including the development of new harmonic means, altered chords, chromatic harmony, modulation techniques and extended tonality. Particular focus will be given to key works by Chopin, Liszt, Brahms, Wagner and Tchaikovsky. This course is designed to complement the concurrent course of History and Repertoire of Romantic Music (1800-1900).
MUS3063	This course aims to explore the history and repertoire of masterpieces of the Romantic period. The course will deepen on the great diversity of forms, compositional aesthetics and personal styles developed by the main composers Berlioz, Chopin, Liszt, Verdi, Brahms, Wagner and Tchaikovsky. It will show the great variety of musical forms developed by the composers Song cycles, Caprices, Ballades, Impromptus, Etudes, or Waltzes. As well as the Romantic revision of Classical forms Sonata, Fantasia and Variations or the creation of Programme Music. Various analytical techniques will be utilized, including harmonic and formal analysis, analysis of the orchestration and where appropriate, Schenkerian Analysis. The aim is to enhance students' musical skills by developing an analytical listening and appreciation of diverse forms, genres, and instrumentations as well as a clear understanding of the use of tonality, altered chords, modulation and chromatism in the Romantic repertoire.
MUS3083	Through weekly rehearsals, students develop  essential ensemble and musicianship skills. For this course, each student must continue in the same ensemble s/he selected for Ensemble A I. The ensembles currently available are Orchestra, Choir, Chamber Music Ensemble, Jazz Ensemble and Chinese Music Ensemble. Each semester, there will be a minimum of one public concert arranged for all players in each ensemble. In addition to the practical rehearsals, students will be given reading, writing and listening assignments to broaden their knowledge of related repertoire.
MUS3093	Through weekly rehearsals, students develop essential ensemble and musicianship skills. For Ensemble B, students must join a different Music Programme ensemble from the ensemble they selected for Ensemble A. The ensembles currently available are Orchestra, Choir, Chamber Ensemble, Jazz Ensemble and Chinese Music Ensemble. In addition, Performance Stream piano students may also study accompanying techniques and Composition Stream students may gain experience of conducting. Each semester, there will be a minimum of one public concert arranged for all players in each ensemble. In addition to the practical rehearsals, students will be given reading, writing and listening assignments to broaden their knowledge of related repertoire. Please note that enrollment for each ensemble is dependent on an audition to be conducted at the beginning of the semester. Moreover, students who are admitted to a particular ensemble for Ensemble B I must remain in the same ensemble for Ensemble B II.
MUS3103	Through weekly rehearsals, students develop essential ensemble and musicianship skills. For this course, each student must continue in the same ensemble or option s/he selected for Ensemble BI. The ensembles currently available are Orchestra, Choir, Chamber Music Ensemble, Jazz Ensemble Chinese Music Ensemble as well as the option to study accompanying techniques and conducting. Each semester, there will be a minimum of one public concert arranged for all players in each ensemble. In addition to the practical rehearsals, students will be given reading, writing and listening assignments to broaden their knowledge of related repertoire.
MUS3113	In this course students will develop high level technical skills in their chosen Principal study instrument. All students are required to take this course. This is the first of three courses (Principal Study II Performance and Principal Study III Performance) designed to prepare students for the Final Year Project public full recital. In addition to technical exercises selected by the instructor to address any remaining weaknesses in technique, the student will expand their performance repertoire. The student will perform 3 musical works at the end of the semester before a jury and must play at least one work in a public concert (typically in the Lunchtime Concert Series). A research topic, selected in consultation with the instructor and based on an area relating to the violin and its repertoire, will be undertaken culminating in the submission of a short essay 800-1200 words long.
MUS3123	In this course students will develop high level technical skills in their chosen Principal study instrument. All students are required to take this course. This is the second of three courses (Principal Study I Performance, Principal Study II Performance and Principal Study III Performance) designed to prepare students for the Final Year Project public full recital.
MUS3133	This course designed to introduce the language of jazz through practical application of jazz harmony via in-depth analysis, practical application of jazz techniques, simple transcription exercises and in-class listening. Participants of this course will deal with the concepts of jazz harmony with the study of the harmony of standard jazz repertoire. Students will learn to understand notation and realization of harmony in jazz music, chord progressions, lead sheet symbols and use basic harmonic rules and the typical harmonic devices, diatonic progression and chord patterns with a view to generating a creative sense of jazz harmony.
MUS4003	This course explores western art music of the 20th and 21st century. Various compositional techniques and aesthetic approaches will be discussed within their historical and cultural contexts. It begins by briefly examining the Post-Romanticism movement, as well as Impressionism and the dissolution of tonality at the turn of the 20th century. After that, a great number of aesthetics and cultural movements are discussed as part of Modernism in the first half of the century including Symbolism, Cubism, Abstract Art, Futurism and Dadaism, Atonalism, Twelve-tone Music and Neoclassicism. The post-war period splits the century in two halves. The course then focuses on the Darmstadt School and subsequent explorations into chance and mobile form. Thereafter, developments through the 1970s and 1980s will be examined, in particular Minimalism, Spectralism and a return to tonality. Throughout, developments in technology affecting recording, manipulation and distribution of music will be considered and parallel developments in popular music will be examined.
MUS4013	This course is designed to provide students with an introduction to the field of music education. Included are topics related to learning theories, curriculum development, an overview of music teaching and learning, historical and philosophical foundations of music education, resources for teaching, twentieth-century and twenty-first century developments in music education as well as a consideration of music from diverse places around the world. Opportunities will be given to students to gain experience of teaching both through observation and through practice.
MUS4023	The Final Year Project (FYP) is the culmination of the Music programme in which each student must direct a public project independently. Students will prepare for, promote and manage a public recital or public presentation of recordings of their performance activities. Throughout Year 4, the student will meet with his/her supervisor on a regular basis. Seminars will be held at intervals during the semester to facilitate discussions and interactions among fellow students.
MUS4063	This course designed to introduce the language of jazz through practical application of jazz improvisation via music analysis, practical application of jazz techniques, simple transcription and arrangement exercises and in-class performance. Participants of this course will deal with the concepts of jazz harmony analyse with the study of the standard jazz repertoire. Students will learn to understand notation and realization in jazz music, chord progressions, lead sheet symbols and use basic harmonic rules, diatonic progression and chord patterns to improvise jazz music in class and performance.
MUS4073	This course aims to create music and sound design for new media such as game, exhibition, commercial clip and interactive performance. It is a lecture and laboratory course that is to explore concepts of music creation for a variety of media in the twentieth-first century. Topics include music creation theory, structures, production, editing, recording, processing, programming, synchronization, and integration of sound and music in film, video, animation.
PRA4073	This course is concerned with understanding the fundamentals of big data and its applications in advertising. Students will have an overview of concepts, theories, research, development, and analytics of big data that influences and creates innovative strategies for advertising. Students should be aware of the growing significance of the influence of big data and critically evaluate the dynamic shifts in advertising in a digital era. Data analysis workshops will be conducted for the course.
PRA4663	This course introduces students to the practices associated with planning a campaign. Students working in small groups will prepare a campaign for a real brand or product, service or organisation. The groups will do actual client interview, and write a situation analysis, create detailed references, conduct original research, define and develop targets, develop communication objectives and strategies in advertising and public relations based upon consumer and product research. Deliverables will be created and designed to express the campaign goals and connect and communicate their intentions. Students apply the skills they have acquired in previous advertising and public relations courses to prepare the campaign project. The campaign project, consisting of a written plans book, and original designs and creates will be presented to the class or event clients, and turned in at the end of the semester.
STAT2063	1. To provide an introduction to some important concepts in probability theory. 2. To familiarize students with random variables and various probability distributions. 3. To familiarize students with random vectors and their distributions.
STAT3073	Computational data analysis is an essential part of modern statistics. Competent statisticians must not just be able to run existing programs, but to understand the principles on which they work. They must also be able to read, modify, and write code, so that they can assemble the computational tools needed to solve their data analysis problems. The aim of this course is to expand students' statistical toolbox through numerical and simulation methods. Additionally, the course will teach students how to approach statistical problems from a computational perspective. They will learn how to set up and run stochastic simulations, how to fit basic statistical models and assess the results, and how to work with and filter large data sets.
STAT3083	The aim of this course is to emphasize the application of various statistical methods in real data analysis and expand students statistical toolbox through numerical and simulation methods. Additionally, the course will teach students how to approach statistical problems from a computational perspective. They will learn how to set up and run stochastic simulations, how to fit basic statistical models and assess the results, and how to work with and filter large data sets.
TAP3003	This course gives the extensive and advanced training on acting skills so the students acquire the ability to work in the most professional contexts demanding representational performance techniques in different styles and genres. Equipped with the basic knowledge and skills learned in the course fundamentals of acting, in this successive course will further the bodily investigation on the art of acting. The training systems include advanced Stanislavski method, Suzuki method, Meyerhold bio mechanic etudes, Grotowskian method, Michael Chekov method, Viewpoints, Stage Combat, virtual acting and Rasa box. Among these training regimes, this course will take Michael Chekov method as the supportive framework so the students gain the high standard acting techniques that demonstrate excellent taste, skills, inspiration, creativity, professional work ethic, and most importantly, aesthetic authenticity. The course also covers certain content required by other disciplines demanding acting skills other than theatre, for example, TV/Film/internet/VR, via the special blocks dealing with these issues. At the latter stage of the course, students are required to temp up and making relatively complex (yet less complex than final projects) theatre productions of conventional mainstream theatre to practice what have been learned in both fundamentals of acting and this course.
FIN2023	(For non-ACCT students.) The objective of this course is to enable students to (1) understand the fundamental concepts in finance; (2) assess alternative investment possibilities; and (3) evaluate different sources of financing projects.
MATH3083	To introduce fundamental theory, models, applications and algorithms of Markov Chain and Queuing Theory.
AI1033	This course introduces students to the most fundamental concepts in computer hardware and software. It aims to facilitate students to learn how modern electronic computers work. In order to understand how computers work we gradually examine a series of layers from bottom up, each one built on the layer beneath. We start with looking at how data can be represented in binary and how computers can be modelled as hypothetical models such as universal Turing machines, then see how we can make machines which can transform that data using simple digital circuits, which are made of a collections of logic gates. Once we can control those circuits with instructions, we have the basis for Programming languages. The course extends further to cover the basics of operating systems.
AIM3033	This course will introduce students to the terminology and tools used in the interactive media environments, and will allow students to actively use the new skills in a series of discussions, quizzes, and labs. This course will enable students to become fearless learners of new technologies in today's knowledge, and teach them to be comfortable working in contemporary the interactive media organizations.
AIM3083	This course aims at widening students horizons in understanding animation. It offers an opportunity for students to experiment with different styles and techniques of animation such as painting, cut-out, stop-motion, puppet model and other haptic techniques without using the conventional key framing approach. It will also review photographic methods and show how digital media can augment traditional methods or replace them. Through individual and group assignments students will explore various tools and techniques while developing their skills of styles, concepts and have better understanding of the possibilities of animation.
AIM4023	This course will introduce students to the history and theory of interactive media art, covering a range of precursorsfrom the nineteenth century to the present. Following a chronological structure, the course begins by examining the interactive qualities of pre-cinematic devices, and early interactive experiments by modernist artistsfrom Brecht to Futurism, Dadaism, and Constructivism. It then traces the development of interactivity within an interdisciplinary range of postwar media artincluding cybernetics, video art, happenings, expanded cinema, and installation art. Finally, we analyse contemporary examples of interactive artworks  including net art, gaming, robotic art, relational aesthetics, and VR. Students will be introduced to theories of the interface and interactivity, telepresence, networks, social sculpture, embodiment, and performativity. Through class discussion, group exercises, and written assignments, students will apply their theoretical and historical knowledge to the analysis of key moments within the history of interactive media art. Course screenings will include video art, kinetic and interactive art, televisual art, expanded cinema, video art, and net art. Course readings will draw from key texts on film and media theory, new media studies, media archeology, art history, media philosophy, and artists writings.
BA3063	This course aims to provide students with a basic understanding of principles, concepts and applications of operations management in both manufacturing and service organisations. It emphasises how operations management function interacts with the other functional areas within an organisation and contributes to the overall betterment of society. Also, it imparts to students the principles, theories and tools of operations management at both strategic and tactical levels. It helps students develop their critical thinking and analytical skills. The course contents include the roles of operations management in the economy and organization, process management and analysis, quality management, capacity management, facility planning, demand management, inventory management, innovation, and sustainability in global operations management.
BA3083	This course aims to equip students with knowledge and tools for implementing multicriteria decision-making methods (MCDM) with quantitative methods. Accordingly, in order to help students understand how to make business decisions using ranking irregularities, ELECTRE methods, the Analytic Hierarchy Process (AHP), and decision-making applications will be introduced to identify the variables and their suitability ratings for decisions. Students will be able to use multi-criteria decision-making techniques, partially or completely, to rank the alternatives and make decisions under conditions of uncertainty and risk.
MAD4093	This course expands the students' knowledge of computational and interactive media with creative, practical applications of physical computing and rapid-prototyping technologies to interactive installation art, performing arts, wearable design, and kinetic sculpture. Exploring microcontrollers, such as Arduino for physical interaction, students will learn the fundamentals of electronics, robotics, and responsive interfaces. Over the course duration, students will develop projects using light, sound, motion, and other analog and digital inputs and outputs while synthesizing their expanded understanding of media art theory, embodiment aesthetics, and interaction design.
MATH3153	This course introduces basic concepts and techniques of measuring theoretic probability. It introduces some some basic stochastic processes, martingales and their applications, and familiarises students with random variable and various probability distributions from the perspective of measuring theoretic probability theory.
MATH4083	This course introduces numerical methods on various problems, such as equation solutions, interpolations, differentiations and integrations, initial value problems, linear systems, and error analysis on these numerical methods. Students would learn the theory of numerical analysis, as well as its rich applications in science and economics. After studying this course students will have a better mastery of techniques in numerical analysis.
TESL4103	This course is an extension of TESL3033 Curriculum Development and Materials Design, in which the students have developed language teaching materials targeting at specific groups of learners in a school setting. This course will be devoted to the production-related aspects of materials development. It aims at equipping students with practical and hands-on skills in piloting, evaluating and revising language teaching materials within a school setting. Students will gain conceptual and practical experience at an entry-level that is necessary for developing materials for commercial publication.
TRA4093	This course provides students with advanced and profound translation skills and theories to either perform the translation of a text and write a commentary or to conduct research on topics of translation and interpreting studies. Students doing translation with commentaries will be trained in translation skills, process management, and quality assessment, in line with norms in the translation industry; students will then complete the translation of a chosen text and write a commentary by self-evaluating the translation quality. Students conducting research will be equipped with knowledge of state-of-the-art translation and interpreting theories and methodology; by applying the knowledge, students will develop a strong thesis on current topics in translation and interpreting.
UCLC1033	This course aims to develop students persuasive speaking and writing skills in English to allow them to construct effective arguments, express their opinions, and seek to influence others. Through a detailed consideration of the techniques that can be used in speech and writing to try to convince others and/or change beliefs and behaviours, the course aims to prepare students to recognise when others are seeking to persuade them and to be able to defend their viewpoints and refute counterarguments. After completing this course, students should be better prepared to engage meaningfully in both civil and academic discourse, as well as to use persuasion as a tool to try to enact meaningful change.
TESL4093	This course focuses on the development of digital narrative projects for educational purposes. Students will be equipped with practical knowledge and skills on storytelling targeting at a specific group of audience, employing appropriate software for developing digital learning materials in the form of narratives, and disseminating the materials to the target audience.
BIOL2093	This course aims to encourage students to appreciate on the vast diversity of microorganism; provide a general understanding on the nomenclature and taxonomy of microorganisms, as well as the cell structures and functions; teach students fundamental skills in microbiology; and  provide examples on the applications of microorganisms in our everyday life with emphasis on their applications in environmental science.
BIOL3033	This course is designed to teach the biology of nature conservation through a focus on species and habitats of concern together with some elements on conservation management. Students will learn about the common practices of conservation science and management, and how our knowledge in conservation biology influences the development and implementation of policy, land planning and management. Students will also learn about the most contemporary conservation problems as well as species and habitat management practices in the context of a rapidly changing environment. Finally, student will practice to address the anthropogenic biodiversity degradation by managing protected areas and development of conservation plan.
CCM4113	The course aims to enhance the skills of students in mastering the simulation from Virtual Reality (VR) technology and Immersive Media. Student will apply the immersive technology (3D, 360 camera and 4D camera) to create the application of simulation for cultural or creative media communication.
CHI1183	The aims and objectives are to make students accurately grasp the theories developed during the process of sinicization of Marxism; comprehensively recognize the historical progress, historical innovation, and historical achievement of peoples revolution, construction, and reformation led by Chinese Communist Party; be completely aware of the basic theories, fundamental policies, and general plans insisted by Chinese  Communist Party in the new era; have a more complete recognition of contemporary Chinese society, and cultivate the ability of analysing and solving problems.
DMM3073	This course aims to introduce students with the basic concepts of social media, enterprise content management, and principles on social media. In this course, students will be exposed to fundamental concepts that enable students to formulate social media content for the company, analyze sentiments on social media, and apply methods of content management for marketing and branding purposes.
DS1023	This is an advanced mathematics course for data science students. It aims to teach students advanced concepts and methods of various subjects in mathematics. It is a fundamental course to support students' further study in many subjects in data science such as advanced statistics, regression analysis, optimizations and numerical computations. This course also aims to train and improve students' mathematical thinking skills.
EBIS3093	This course provides an understanding of contemporary web and mobile applications that enhance the possibilities for social interactions, for exchange of information and content creation on mobile devices, and the use of these applications for business opportunities. It equips students with the knowledge and skills for analysis, design, implementation and operation for mobile and social media business applications. It enables students to develop mobile and social media applications for business improvement and innovations with features such as location-based services and community-based recommendation services.
GCCH1043	This course is aim to help foreign students to (1) give presentation in a number of topics; (2) express their feelings with the vocabulary that is taught in this course; (3) recognise, write and use approximately 400 daily-used Chinese words.
MATH3053	This introductory course presents students some classical and commonly used numerical methods in various disciplines involving computing and numerical approximation and solution of equations. The course teaches students how to choose an appropriate numerical method for a particular problem and to understand the advantages and limitations of the chosen numerical scheme for a given mathematical problem so that results from the computation can be properly interpreted. The course also highlights important theoretical considerations on convergence and stability for numerical algorithm design.
