course_code	course_name	prerequisite	unit
COMP3193	CLOUD COMPUTING	COMP1013 STRUCTURED PROGRAMMING or GCIT1013 FOUNDATIONS OF C PROGRAMMING or COMP1023 FOUNDATIONS OF C PROGRAMMING, and COMP3033 OPERATING SYSTEMS	3
COMP3203	INTRODUCTION TO MACHINE LEARNING	COMP1013 STRUCTURED PROGRAMMING or GCIT1013 FOUNDATIONS OF C PROGRAMMING or STAT2043 STRUCTURED PROGRAMMING (FOR STAT STUDENTS) or COMP2013 OBJECT-ORIENTED PROGRAMMING or COMP3153 C++ PROGRAMMING LANGUAGE	3
COMP3213	INTERNET OF THINGS	N/A	3
COMP3223	MOBILE COMPUTING	N/A	3
COMP3233	VIDEO GAME PROGRAMMING	COMP1023 FOUNDATION OF C PROGRAMMING or COMP1013 STRUCTURED PROGRAMMING or COMP2013 OBJECT-ORIENTED PROGRAMMING	3
COMP3253	ADVANCED SOFTWARE DEVELOPMENT WORKSHOP	COMP2013 OBJECTED-ORIENTED PROGRAMMING, and  COMP3013 DATABASE MANAGEMENT SYSTEMS	3
COMP3263	INTELLIGENT INTERNET OF THINGS	N/A	3
COMP3273	5G NETWORKS AND MOBILE COMPUTING	N/A	3
COMP3283	DATA STRUCTURE	COMP3153 C++ PROGRAMMING LANGUAGE	3
COMP4003	THEORY OF COMPUTATION	MATH2003 DISCRETE STRUCTURES	3
COMP4004	FINAL YEAR PROJECT I (COMP)	N/A	3
COMP4005	FINAL YEAR PROJECT II (COMP)	COMP4004 FINAL YEAR PROJECT I (COMP) Other Condition(s): Year 4 standing in Computer Science and Technology Programme	3
COMP4023	COMPUTER AND NETWORK SECURITY	N/A	3
COMP4033	COMPUTER GRAPHICS	COMP2003 DATA STRUCTURE AND ALGORITHMS, and MATH1003 LINEAR ALGEBRA	3
COMP4043	DATA MINING AND KNOWLEDGE DISCOVERY	AI1023 DATABASE MANAGEMENT SYSTEMS or COMP3013 DATABASE MANAGEMENT SYSTEMS or EBIS3003 DATABASE MANAGEMENT	3
COMP4053	DATABASE SYSTEM IMPLEMENTATION	COMP3013 DATABASE MANAGEMENT SYSTEMS or  DS2003 FUNDAMENTALS OF DATABASE SYSTEMS	3
COMP4063	DIGITAL MEDIA COMPUTING	COMP1013 STRUCTURED PROGRAMMING or GCIT1013 FOUNDATIONS OF C PROGRAMMING or COMP1023 FOUNDATIONS OF C PROGRAMMING or COMP2013 OBJECT-ORIENTED PROGRAMMING	3
COMP4073	DISTRIBUTED COMPUTING SYSTEMS	N/A	3
COMP4083	E-TECHNOLOGY ARCHITECTURES, TOOLS AND APPLICATIONS	N/A	3
COMP4093	INTERNET AND THE WORLD WIDE WEB	COMP3003 DATA COMMUNICATIONS AND NETWORKING	3
COMP4103	ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING	COMP3013 DATABASE MANAGEMENT SYSTEMS	3
COMP4113	COMPUTER VISION AND PATTERN RECOGNITION	COMP2003 DATA STRUCTURES AND ALGORITHMS, and MATH1003 LINEAR ALGEBRA	3
COMP4123	INFORMATION RETRIEVAL AND SEARCH ENGINE	COMP2003 DATA STRUCTURES AND ALGORITHMS	3
COMP4133	SYSTEM ANALYSIS AND DESIGN	COMP2013 OBJECT-ORIENTED PROGRAMMING	3
COMP4143	INTRODUCTION TO WEB INTELLIGENCE	N/A	3
COMP4153	QUANTUM FINANCE AND INTELLIGENT FINANCIAL TRADING SYSTEMS	COMP1013 STRUCTURED PROGRAMMING or GCIT1013 FOUNDATIONS OF C PROGRAMMING or AI1013 OBJECT-ORIENTED PROGRAMMING or COMP1023 FOUNDATIONS OF C PROGRAMMING or COMP2013 OBJECT-ORIENTED PROGRAMMING or STAT2043 STRUCTURED PROGRAMMING (FOR STAT STUDENTS) or COMP3153 C++ PROGRAMMING LANGUAGE	3
COMP4163	NEURAL NETWORKS AND DEEP LEARNING	COMP3013 DATABASE MANAGEMENT SYSTEMS	3
COMP4173	DIGITAL IMAGE PROCESSING	MATH1003 LINEAR ALGEBRA or MATH1053 LINEAR ALGEBRA I	3
COMP4183	GAME ENGINE DESIGN	COMP1023 FOUNDATIONS OF C PROGRAMMING or  COMP1013 STRUCTURED PROGRAMMING, and COMP3033 OPERATING SYSTEMS	3
COMP4193	MULTIPLAYER GAMES AND ACCESSORIES	COMP2013 Object-Oriented Programming	3
COMP4203	LINEAR SYSTEMS	MATH1003 LINEAR ALGEBRA or MATH1053 LINEAR ALGEBRA I or MATH1173 LINEAR ALGEBRA	3
COMP4213	WIRELESS COMMUNICATION AND MOBILE COMPUTING	COMP3003 DATA COMMUNICATIONS AND NETWORKING or COMP3033 OPERATING SYSTEMS	3
CTV1003	INTRODUCTION TO ELECTRONIC MEDIA	N/A	3
CTV1013	INTRODUCTION TO MEDIA AESTHETICS	N/A	3
CTV1023	FILM HISTORY	N/A	3
CTV2003	AESTHETICS OF FILM	N/A	3
CTV2013	PRINCIPLES OF PHOTO IMAGING	N/A	3
CTV2023	SCRIPTWRITING	N/A	3
CTV2033	COMMUNICATION RESEARCH METHODS	N/A	3
CTV2053	VIDEO CINEMATOGRAPHY	N/A	3
CTV2063	FILM AND TELEVISION DIRECTING	N/A	3
CTV2073	INTRODUCTION TO COMMUNICATION THEORY	N/A	3
CTV2083	FUNDAMENTALS OF ACTING	N/A	3
CTV2093	VISUAL MEDIA AND CHINESE SOCIETY	N/A	3
CTV3003	SOUND RECORDING AND MIXING	N/A	3
CTV3013	DOCUMENTARY FILM PRODUCTION	N/A	3
CTV3023	FILM AND VIDEO EDITING	N/A	3
CTV3033	ART DIRECTION AND PRODUCTION DESIGN	N/A	3
CTV3043	CINEMA AND TELEVISION INTERNSHIP	N/A	3
CTV3053	ADVANCED FILM SOUND AND MUSIC RECORDING AND MIXING	CTV3003 SOUND RECORDING AND MIXING	3
CTV3113	MOTION IMAGING COLOUR GRADING	CTV3023 FILM AND VIDEO EDITING	3
CTV3123	EXPERIMENTAL FILM	N/A	3
CTV3133	CINEMA AND FILM CULTURE IN THE DIGITAL ERA	N/A	3
CTV3143	THE CRAFT OF CONTEMPORARY STORYTELLING: COLLABORATIVE AND  INTERACTIVE NARRATIVES	N/A	3
CTV4013	PRODUCTION AND MEDIA MANAGEMENT	N/A	3
CTV4023	HISTORY AND AESTHETICS OF THE CHINESE CINEMA	N/A	3
CTV4033	ON-LINE INTERACTIVE VIDEO	N/A	3
CTV4043	FILM MUSIC AND SOUND	N/A	3
CTV4053	DIGITAL ANIMATION	N/A	3
CTV4063	STUDIES IN HOLLYWOOD CINEMA	N/A	3
CTV4073	SPECIAL TOPICS IN FILM AND TELEVISION STUDIES	N/A	3
CTV4083	HONG KONG AND TAIWANESE CINEMA	N/A	3
CTV4103	ADVANCED SCRIPTWRITING	CTV2023 SCRIPTWRITING	3
CTV4113	STUDIES IN ASIAN CINEMA: INDIA, KOREA, JAPAN	N/A	3
CTV4123	STUDIES IN EUROPEAN CINEMA	N/A	3
CTV4133	TELEVISION STUDIO PRODUCTION	N/A	3
CTV4143	SPECIAL TOPICS IN FILM AND TELEVISION SUBJECTS	N/A	3
CTV4153	FINAL YEAR PROJECT (CTV)	CTV4013 PRODUCTION AND MEDIA MANAGEMENT, and CTV2063 FILM AND TELEVISION DIRECTING (for video production) or CTV2033 COMMUNICATION RESEARCH METHODS (for dissertation) or CTV4103 ADVANCED SCRIPT WRITING (for script writing)	3
CTV4163	DIGITAL SPECIAL EFFECTS WORKSHOP	N/A	3
CTV4173	MULTIPLE MEDIA NARRATIVE WRITING	N/A	3
CTV4183	ADVANCED DIRECTING	CTV2063 FILM AND TELEVISION DIRECTING	3
CTV4193	ELECTRONIC MEDIA MANAGEMENT	N/A	3
CTV4203	MEDIA PROGRAMMING AND PLANNING	N/A	3
CTV4213	VISUAL MEDIA STUDIES	N/A	3
CTV4223	FILM RESEARCH METHODS	N/A	3
CTV4233	ADVANCED EDITING	CTV3023 FILM AND VIDEO EDITING	3
CTV4243	ADVANCED EDITING	CTV2053 VIDEO CINEMATOGRAPHY	3
DHSS2003	TRANSCULTURAL EXCHANGE IN THE HUMANITIES AND SOCIAL SCIENCES	N/A	3
DMM2003	DIGITAL DESIGN THINKING	N/A	3
DMM2013	DIGITAL MEDIA TECHNOLOGIES	N/A	3
DMM2023	MEDIA AND CULTURE	N/A	3
DMM3003	AI, DATA SCIENCE AND MANAGEMENT	N/A	3
DMM3013	DATA-DRIVEN MEDIA MANAGEMENT	GFQR1023 DATA ANALYTICS FOR BUSINESS	3
DMM3023	DIGITAL STORYTELLING	N/A	3
DMM3033	MEDIA PSYCHOLOGY	N/A	3
DMM3043	PROJECT I: MEDIA TECHNOLOGIES	N/A	3
DMM3053	PROJECT II: DIGITAL BUSINESS MODELS	MKT2003 PRINCIPLES OF MARKETING MANAGEMENT	3
DMM3063	PROJECT III: TREND AND FUTURE RESEARCH	N/A	3
DMM3073	SOCIAL MEDIA MANAGEMENT	MKT2003 PRINCIPLES OF MARKETING MANAGEMENT	3
DMM4003	DIGITAL MEDIA MANAGEMENT INTERNSHIP	N/A	3
DMM4013	DIGITAL TRANSFORMATION	N/A	3
DMM4023	LOW CODING AND DATA SCIENCE	N/A	3
DMM4033	MANAGEMENT AND CONTROL	ACCT2063 FUNDAMENTAL ACCOUNTING PRINCIPLES	3
DS1013	PYTHON PROGRAMMING FOR BEGINNERS	N/A	3
DS1023	ADVANCED MATHEMATICS FOR DATA SCIENCE	MATH1123 CALCULUS FOR SCIENCE AND ENGINEERING or MATH1073 CALCULUS I or MATH1103 CALCULUS, and MATH1003 LINEAR ALGEBRA or MATH1053 LINEAR ALGEBRA I or MATH1173 LINEAR ALGEBRA	3
DS2003	FUNDAMENTALS OF DATABASE SYSTEMS	COMP1013 STRUCTURED PROGRAMMING or COMP2013 OBJECT-ORIENTED PROGRAMMING or DS1013 PYTHON PROGRAMMING FOR BEGINNERS	3
DS2013	DATA PROCESSING WORKSHOP I	N/A	1
DS2033	LINUX SYSTEM MANAGEMENT AND PROGRAMMING	N/A	3
DS2043	DATA PROCESSING WORKSHOP I	N/A	3
DS3003	DATA PROCESSING WORKSHOP II	DS2003 FUNDAMENTALS OF DATABASE SYSTEMS	1
DS3013	DATA PROCESSING WORKSHOP III	DS2003 FUNDAMENTALS OF DATABASE SYSTEMS, and DS3003 DATA PROCESSING WORKSHOP II	1
DS3023	DIGITAL LOGIC DESIGN	N/A	3
DS3033	TECHNICAL COMMUNICATION	N/A	3
DS3043	DATA PROCESSING WORKSHOP II	N/A	3
DS3053	REQUIREMENTS ENGINEERING FOR DATA SCIENCE PROJECTS	N/A	3
DS4003	OPTIMISATION METHODS	MATH1053 LINEAR ALGEBRA I or MATH1003 LINEAR ALGEBRA, and MATH1073 CALCULUS I	3
DS4004	FINAL YEAR PROJECT I (DS)	N/A	3
DS4005	FINAL YEAR PROJECT II (DS)	DS4004 FINAL YEAR PROJECT I (DS)	3
DS4013	DATA MINING (FOR DS STUDENTS)	COMP1013 STRUCTURED PROGRAMMING or COMP2013 OBJECT ORIENTED PROGRAMMING or  GCIT1013 FOUNDATIONS OF C PROGRAMMING or STAT2043 STRUCTURED PROGRAMMING (FOR STAT STUDENTS)	3
DS4023	MACHINE LEARNING	COMP1013 STRUCTURED PROGRAMMING or GCIT1013 FOUNDATIONS OF C PROGRAMMING or  COMP1023 FOUNDATIONS OF C PROGRAMMING or COMP2013 OBJECT ORIENTED PROGRAMMING or COMP3153 C++ PROGRAMMING LANGUAGE or STAT2043 STRUCTURED PROGRAMMING (FOR STAT STUDENTS)	3
DS4033	TEXT MINING AND ANALYTICS	N/A	3
DS4043	INTRODUCTION TO STATISTICAL COMPUTING	MATH1073 CALCULUS I	3
DS4053	INTRODUCTION TO BIOINFORMATICS	N/A	3
DS4063	SOCIAL COMPUTING	COMP1013 STRUCTURED PROGRAMMING or  GCIT1013 FOUNDATIONS OF C PROGRAMMING or  COMP1023 FOUNDATIONS OF C PROGRAMMING or COMP2013 OBJECT-ORIENTED PROGRAMMING, and STAT2003 ADVANCED STATISTICS	3
DS4073	INTRODUCTION TO DATA VISUALISATION	N/A	3
DS4083	BIG DATA ANALYTICS	COMP2003 DATA STRUCTURE AND ALGORITHMS or AI2003 DATA STRUCTURES AND ALGORITHM ANALYSIS	3
DS4093	INTRODUCTION TO RECOMMENDER SYSTEM	DS2013 DATA PROCESSING WORKSHOP I or DS2043 DATA PROCESSING WORKSHOP I or COMP3043 SOFTWARE DEVELOPMENT WORKSHOP II or COMP2073 DATA PROGRAMMING WORKSHOP or AI1003 PYTHON PROGRAMMING, and MATH1003 LINEAR ALGEBRA, and  DS4023 MACHINE LEARNING or COMP3203 INTRODUCTION TO MACHINE LEARNING or AI3013 MACHINE LEARNING	3
DSS1013	BIG IDEAS IN SOCIAL SCIENCES	N/A	3
DSS1023	INVITATION TO DIGITAL SOCIAL SCIENCE	N/A	3
DSS2003	EMPLOYMENT AND TAX POLICY FOR DIGITAL ECONOMY	N/A	3
DSS2013	SMART CITY	N/A	3
DSS2023	BEHAVIORAL SCIENCE AND THE DIGITAL WORLD	N/A	3
DSS2033	SOCIAL POLICY IN DIGITAL SOCIETY	N/A	3
DSS3003	CULTURE, DIVERSITY AND SOCIETY	DHSS2003 TRANSCULTURAL EXCHANGE IN THE HUMANITIES AND SOCIAL SCIENCES	3
DSS3013	EDUCATION POLICY AND DIGITAL SOCIETY	DSS1003 DIGITAL SOCIETY	3
DSS3023	NETWORK ANALYSIS FOR SOCIAL PLANNING	DSS1003 DIGITAL SOCIETY	3
DSS3033	ETHICS AND LEGAL ISSUES IN DIGITAL SOCIETY	N/A	3
DSS3043	DIGITAL EMERGENCY AND DISASTER RISK MANAGEMENT	DS1013 PYTHON PROGRAMMING FOR BEGINNERS or DS2003 FUNDAMENTALS OF DATABASE SYSTEMS or GDST1083 WEB PUBLISHING: THE SCIENCE BEHIND THE CONTENT ON THE WEB or GTSC2053 TELLING A STORY WITH DATA or  ENV3073 INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEMS FOR ENVIRONMENTAL MANAGEMENT	3
DSS3053	LEARNING ORGANIZATIONS	N/A	3
DSS3063	SOCIAL WELFARE INFORMATICS	N/A	3
DSS4023	FINAL YEAR PROJECT IN DIGITAL SOCIAL SCIENCE	N/A	3
DSS4033	DIGITAL SOCIAL SCIENCE INTERNSHIP	N/A	3
DSS4043	DIGITAL DISEASE AND HEALTH SERVICE MANAGEMENT	N/A	3
EBIS2003	INTRODUCTION TO BLOCKCHAIN	N/A	3
EBIS2013	FUNDAMENTALS OF DIGITAL ECONOMY AND FINTECH	N/A	3
EBIS2023	BUSINESS ANALYTICS	Quantitative Reasoning	3
EBIS3003	DATABASE MANAGEMENT	N/A	3
EBIS3013	BUSINESS SYSTEMS DESIGN AND ANALYSIS	EBIS3003 DATABASE MANAGEMENT	3
EBIS3023	ELECTRONIC COMMERCE	N/A	3
EBIS3033	PROGRAMMING FOR BUSINESS APPLICATIONS	N/A	3
EBIS3043	IT GOVERNANCE, AUDIT AND CONTROL	BUS4023/BUS4093 MANAGEMENT INFORMATION SYSTEMS	3
EBIS3063	TELECOMMUNICATIONS IN BUSINESS	BUS4023/BUS4093 MANAGEMENT INFORMATION SYSTEMS	3
EBIS3073	DECISION SUPPORT AND BUSINESS INTELLIGENCE SYSTEMS	BUS4023/BUS4093 MANAGEMENT INFORMATION SYSTEMS	3
EBIS3083	E-CUSTOMER BEHAVIOURS AND WEB ANALYTICS	MKT2003 PRINCIPLES OF MARKETING MANAGEMENT	3
EBIS3093	DEVELOPING APPLICATIONS FOR MOBILE AND SOCIAL MEDIA	N/A	3
EBIS3103	INTRODUCTION TO BUSINESS DATA ANALYTICS	N/A	3
EBIS4013	SEMINAR IN E-BUSINESS MANAGEMENT AND INFORMATION SYSTEMS	BUS4023/BUS4093 MANAGEMENT INFORMATION SYSTEMS	3
EBIS4043	BIG DATA ANALYSIS AND APPLICATIONS	N/A	3
EBIS4063	INFORMATION SECURITY AND PRIVACY MANAGEMENT	BUS4023/BUS4093 MANAGEMENT INFORMATION SYSTEMS	3
EBIS4073	E-BUSINESS MANAGEMENT AND INFORMATION SYSTEMS INTERNSHIP	N/A	3
ECON2003	PRINCIPLES OF MACROECONOMICS	N/A	3
ECON2013	PRINCIPLES OF MICROECONOMICS	N/A	3
ECON2023	MATHEMATICAL ECONOMICS	N/A	3
ECON2053	ECONOMICS	N/A	3
ECON2063	INTRODUCTION TO ECONOMICS	N/A	3
ECON2083	ECONOMIC HISTORY	ECON2013 PRINCIPLES OF MICROECONOMICS, and  ECON2003 PRINCIPLES OF MACROECONOMICS	3
ECON2093	ENTREPRENEURIAL ECONOMICS	ECON2013 PRINCIPLES OF MICROECONOMICS	3
ECON2103	MICROECONOMICS	N/A	3
ECON2113	MACROECONOMICS	ECON2103 MICROECONOMICS	3
ECON3003	INTERMEDIATE MACROECONOMICS	ECON2003 PRINCIPLES OF MACROECONOMICS	3
ECON3013	APPLIED ECONOMETRICS	Quantitative Reasoning	3
ECON3023	ASIA-PACIFIC ECONOMIES	N/A	3
ECON3043	MONEY AND BANKING	ECON2003 PRINCIPLES OF MACROECONOMICS	3
ECON3053	FOUNDATIONS OF CHINESE ECONOMY	N/A	3
ECON3063	INTERMEDIATE MICROECONOMICS	ECON2013 PRINCIPLES OF MICROECONOMICS	3
ECON3073	GAMES AND ECONOMIC DECISIONS	N/A	3
ECON3083	MATHEMATICAL ECONOMICS II	ECON2023 MATHEMATICAL ECONOMICS	3
ECON3093	INTRODUCTION TO INTERNATIONAL ECONOMICS	ECON2053 ECONOMICS	3
ECON3113	LINEAR ALGEBRA FOR ECONOMICS AND FINANCE	N/A	3
ECON3123	CALCULUS FOR ECONOMICS AND FINANCE	N/A	3
ECON3133	INTRODUCTORY ECONOMETRICS	MATH2033 MATHEMATICAL STATISTICS	3
ECON3143	POLITICAL ECONOMY    54 / 162	N/A	4
ECON3153	PROGRAMMING FOR ECONOMIC AND BUSINESS ANALYSIS	ECON2013 PRINCIPLES OF MICROECONOMICS, and ECON2003 PRINCIPLES OF MACROECONOMICS	3
ECON3163	SELECTED READING FROM DAS KAPITAL	N/A	3
ECON3173	CROSS SECTION AND PANEL DATA ANALYSIS	ECON3013 APPLIED ECONOMETRIC	3
ECON3183	TIME SERIES DATA ANALYSIS	ECON3013 APPLIED ECONOMETRIC	3
ECON4003	ECONOMIC AND BUSINESS FORECASTING	ECON3013 APPLIED ECONOMETRICS	3
ECON4013	INDUSTRIAL ORGANISATION	ECON2013 PRINCIPLES OF MICROECONOMICS	3
ECON4023	LABOUR ECONOMICS	ECON2013 PRINCIPLES OF MICROECONOMICS	3
ECON4033	MONEY AND FINANCE IN CHINA	ECON2003 PRINCIPLES OF MACROECONOMICS Course	3
ECON4043	PUBLIC FINANCE	ECON2013 PRINCIPLES OF MICROECONOMICS, and ECON2003 PRINCIPLES OF MACROECONOMICS	3
ECON4053	DEVELOPMENT ECONOMICS	ECON2013 PRINCIPLES OF MICROECONOMICS, and ECON2003 PRINCIPLES OF MACROECONOMICS	3
ECON4083	INTERNATIONAL TRADE	ECON2013 PRINCIPLES OF MICROECONOMICS	3
ECON4093	URBAN ECONOMICS	ECON3013 APPLIED ECONOMETRICS, and ECON3063 INTERMEDIATE MICROECONOMICS	3
ECON4103	APPLIED ECONOMICS INTERNSHIP	N/A	3
ECON4113	ENVIRONMENTAL ECONOMICS	ECON3063 INTERMEDIATE MICROECONOMICS	3
ECON4123	REAL ESTATE ECONOMICS AND FINANCE	ECON3063 INTERMEDIATE MICROECONOMICS	3
ECON4133	MICROECONOMIC THEORY	ECON3063 INTERMEDIATE MICROECONOMICS	3
ENG1003	INTRODUCTION TO THE STUDY OF LITERATURE	N/A	3
ENG1013	INTRODUCTION TO THE STUDY OF LANGUAGE	N/A	3
ENG2043	SPEECH AND ORAL COMMUNICATIONS	N/A	3
ENG2053	PROFESSIONAL AND TECHNICAL WRITING	N/A	3
ENG2063	CHILDRENS LITERATURE	N/A	3
ENG2083	DISCOURSE AND GRAMMAR	N/A	3
ENG2093	THE SHORT STORY	N/A	3
ENG2113	PRAGMATICS AND DISCOURSE ANALYSIS	N/A	3
ENG2123	INTRODUCTION TO CORPUS LINGUISTICS	N/A	3
ENG2143	NEW MEDIA LITERACIES	N/A	3
ENG2153	CREATIVE WRITING FOR PUBLICATION	N/A	3
ENG2163	BRITISH LITERATURE: THE EMPIRE AND THE CRISIS OF IDENTITY	N/A	3
ENG2173	AMERICAN LITERATURE: TRADITIONS OF DEMOCRACY AND DISSENT	N/A	3
ENG2183	ENGLISH PHONETICS AND PHONOLOGY	N/A	3
ENG2193	LEXIS AND MORPHOLOGY	N/A	3
ENG2203	INTRODUCTION TO WESTERN DRAMA	N/A	3
ENG2213	INTRODUCTION TO FILM AND LITERATURE	N/A	3
ENG2223	ENGLISH THROUGH MEDIA	N/A	3
ENG3003	WORLD LITERATURE IN ENGLISH	N/A	3
ENG3023	INTRODUCTION TO PSYCHOLINGUISTICS	N/A	3
ENG3033	ADVANCED ENGLISH COMPOSITION	N/A	3
ENG3043	RHETORIC, ARGUMENTATION, AND DEBATE	N/A	3
ENG3053	ENGLISH AS A WORLD LANGUAGE	N/A	3
ENG3063	TRAVEL WRITING AND THE LANGUAGE OF TOURISM	N/A	3
ENG3073	LANGUAGE AND SOCIETY	N/A	3
ENG3083	LANGUAGE AND ETHNOGRAPHY	N/A	3
ENG3093	READING POETRY	ENG1003 INTRODUCTION TO THE STUDY OF LITERATURE	3
ENG3123	POSTHUMAN FUTURES: SCIENCE FICTION SINCE 1960	N/A	3
ENG3143	ANALYSING MULTIMODAL COMMUNICATION	N/A	3
ENG3153	ENGLISH THROUGH MEDIA	N/A	3
ENG3163	DRAMATIC WORDS: THEATRE AND PERFORMANCE	N/A	3
ENG3173	CONTEMPORARY LITERARY THEORY AND CRITICISM	N/A	3
ENG3183	CREATIVE WRITING FOR PERFORMANCE	N/A	3
ENG3203	LANGUAGE AND INTERCULTURAL COMMUNICATION	N/A	3
ENG3213	LANGUAGE IN BUSINESS AND LEGAL COMMUNICATION	N/A	3
ENG3223	CROSS-CULTURAL STUDIES OF LITERATURE	N/A	3
ENG3233	NONFICTION NARRATIVE WRITING AND EDITING	N/A	3
ENG3243	RESEARCH WRITING	N/A	3
ENG3253	ADVANCED READING AND WRITING	UCLC1013 ENGLISH FOR ACADEMIC PURPOSES I, and UCLC1023 ENGLISH FOR ACADEMIC PURPOSES II, and UCLC1033 ENGLISH FOR ACADEMIC PURPOSES III	3
ENG3303	CONTEMPORARY LITERARY THEORY	N/A	3
ENG3313	LITERARY CRITICISM IN THE TWENTIETH CENTURY: PRACTICAL CRITICISM TO  DECONSTRUCTION	N/A	3
ENG3353	SHAKESPEARE: LITERATURE, PERFORMANCE AND ADAPTATION	N/A	3
ENG3363	CLASSICAL MYTHOLOGY IN ENGLISH	N/A	3
ENG3373	FEMINIST READINGS OF LITERATURE	N/A	3
ENG3383	THE ART OF READING FICTION	N/A	3
ENG3393	LITERATURE AND FILM	N/A	3
ENG3913	WOMEN WRITING AND WRITING WOMEN	N/A	3
ENG4013	MAJOR AUTHOR STUDY	N/A	3
ENG4023	MAJOR GENRE IN LITERATURE	N/A	3
ENG4053	CREATIVE WRITING	N/A	3
ENG4063	OFF-CAMPUS INTERNSHIP EXPERIENCE	N/A	3
ENG4103	FINAL YEAR PROJECT I (ELLS)	N/A	3
ENG4123	INTRODUCTION TO PUBLISHING STUDIES	N/A	3
ENG4133	RESEARCH SKILLS IN LITERARY STUDIES	ENG2173 AMERICAN LITERATURE: TRADITIONS OF DEMOCRACY AND DISSENT	3
ENG4143	FINAL YEAR PROJECT II (ELLS)	ENG4103 FINAL YEAR PROJECT I (ELLS)	3
ENG4153	EDITING AND PUBLISHING PRACTICUM II	N/A	3
ENG4173	CURRENT ISSUES IN ENGLISH STUDIES	N/A	3
ENG4183	RESEARCH SKILLS IN DIGITAL LITERACY AND INTERCULTURAL COMMUNICATION	ENG2143 NEW MEDIA LITERACIES	3
ENG4193	FINAL YEAR PROJECT (ELLS)	N/A	6
ENG4203	GLOBALISATION, MEDIA AND INTERCULTURAL COMMUNICATION	ENG3083 LANGUAGE AND ETHNOGRAPHY	3
ENG4213	SPECIAL TOPIC IN LITERATURE	N/A	3
ENG4223	INTERCULTURAL COMMUNICATION IN THE WORKPLACE	ENG3203 INTERCULTURAL COMMUNICATION	3
ENGI2003	MECHANICAL ENGINEERING AND PRACTICE	N/A	3
ENGI2013	ENGINEERING DRAWING AND AUTOCAD PRACTICE	N/A	3
ENV1003	CLIMATE CHANGE	N/A	3
ENV1013	INTRODUCTION TO ECO-CITIES	N/A	3
ENV1023	INTRODUCTION TO PLANET EARTH SCIENCE	N/A	3
ENV2003	INTRODUCTION TO ENVIRONMENTAL SCIENCE	N/A	3
ENV3003	RESOURCES AND THE ENVIRONMENT	N/A	3
ENV3013	SUSTAINABLE ENVIRONMENTAL MANAGEMENT	N/A	3
ENV3023	ENVIRONMENTAL CHEMISTRY AND POLLUTION CONTROL	CHEM2023 PRINCIPLES OF CHEMISTRY or CHEM2003 GENERAL CHEMISTRY	3
ENV3033	ENVIRONMENTAL ANALYSIS AND MONITORING	CHEM3013 CHEMICAL ANALYSIS	3
ENV3043	ENVIRONMENTAL STUDY LABORATORY	BIOL2103 BIOLOGY AND ECOLOGY LABORATORY or CHEM2053 CHEMISTRY LABORATORY	3
ENV3053	ENVIRONMENTAL NANOTECHNOLOGY	CHEM2023 PRINCIPLES OF CHEMISTRY or CHEM2003 GENERAL CHEMISTRY	3
ENV3063	INTRODUCTION TO ENVIRONMENTAL GEOLOGY	CHEM2023 PRINCIPLES OF CHEMISTRY or CHEM2003 GENERAL CHEMISTRY	3
ENV3073	INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEMS FOR  ENVIRONMENTAL MANAGEMENT	N/A	3
ENV3083	FUNDAMENTALS OF BIOGEOCHEMISTRY	N/A	3
ENV3093	TERRESTRIAL AND AQUATIC ENVIRONMENTS IN CHINA	BIOL1023 DIVERSITY OF LIFE AND LABORATORY, and  BIOL2023 CONSERVATION ECOLOGY	3
ENV3103	INTRODUCTION TO ENVIRONMENTAL ENGINEERING	ENV2003 INTRODUCTION TO ENVIRONMENTAL SCIENCE	3
ENV3113	CHINAS ENVIRONMENTAL LAW AND INTERNATIONAL COOPERATION POLICY	N/A	3
ENV3123	INTRODUCTION TO OCCUPATIONAL HEALTH AND SAFETY	N/A	3
ENV3153	RESEARCH METHODS FOR ENVIRONMENTAL SCIENCE AND STUDIES	ENV2003 INTRODUCTION TO ENVIRONMENTAL SCIENCE	3
ENV3163	ATMOSPHERIC SCIENCE AND POLLUTION	N/A	3
ENV3173	HYDROLOGY AND WATER ENGINEERING	N/A	3
ENV3183	PRACTICAL ENVIRONMENTAL ANALYSIS AND MONITORING	CHEM3013 CHEMICAL ANALYSIS	3
ENV3193	CARBON TECHNOLOGY AND RENEWABLE ENERGY	N/A	3
ENV4003	GREEN BUSINESS MANAGEMENT	N/A	3
ENV4004	FINAL YEAR PROJECT I (ENV)	N/A	3
ENV4005	FINAL YEAR PROJECT II (ENV)	ENV4004 FINAL YEAR PROJECT I (ENV)	3
ENV4013	INTEGRATED SOLID WASTE MANAGEMENT	ENV2003 INTRODUCTION TO ENVIRONMENT SCIENCE	3
ENV4023	ATMOSPHERIC SCIENCE AND POLLUTION	N/A	3
ENV4033	LAND CONTAMINATION AND REMEDIATION	BIOL2023 CONSERVATION ECOLOGY, and ENV2003 INTRODUCTION TO ENVIRONMENTAL SCIENCE	3
ENV4043	SELECTED TOPICS IN ENVIRONMENTAL SCIENCE	ENV2003 INTRODUCTION TO ENVIRONMENTAL SCIENCE	3
